targetbvdidnumber;targetname;company;Title_link;date;Title;mainText;pros;cons;reply;helpfulReviews;authorInfo;authorInfo1;authorLocation;minor;middle;outlook;CEO;recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW29439296.htm;September 25, 2019;"""Interview Process""";I have been working at SinglePlatform full-time for less than a year;The interview process was amazing and straight forward. The environment at this company is overall the best it can get, the people are great and the job itself is so motivating and I have learnt so much. I have been here for 3 months and when interviewed... 3 things happened- the first call was straight forward, the second interview was in person I got to sit in on some calls and really see what the company was about, and lastly I got a call saying I got the job and since I have been so thankful, this is one of the best jobs especially after college. Everyone is young, fun and driven.;It is a grind, very hard work but its all about success and money at the end of the day and the only way to get there is work hard.;;Helpful;Current Employee - Busineess Analyst;;;;;;;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW29382777.htm;September 22, 2019;"""Great place to be""";I worked at SinglePlatform full-time for less than a year;Great place to learn and kick start sales career;Metrics can seem high at times;;Helpful;Former Employee - Sales Development Representative;;;;;Negative Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW27891307.htm;July 9, 2019;"""Great place to work""";I worked at SinglePlatform full-time for less than a year;"- Amazing commission structure
- Free food and drinks, contests for more money/sales, beer Friday’s, standing desks, solid training, good leadership that you can speak to whenever you need to, they give you mentors who can be really helpful. I left to pursue something I was more passionate about but I still will recommend this place to friends who want to make money in NYC.";Not really a lot, the negative reviews dont correlate with my experience or anyone else I’ve spoken to. Don’t let the negative reviews hold you back from applying.;;Helpful;Former Employee - Sales Generation Associate;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW26391338.htm;May 30, 2019;"""good experience""";I worked at SinglePlatform full-time for more than a year;everyone was really nice and friendly;high expectations and sometimes false leads;;Helpful;Former Employee - Sales Representative;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW25470966.htm;April 2, 2019;"""Metric driven, know what you're getting into""";I have been working at SinglePlatform full-time for less than a year;Fun company culture with good benefits. Very top performers make good money. You never have to work late.;Very metric driven role, have to have 200 minutes of phone time daily and 180 calls daily. The training course is a week long and then you're on the phone cold calling. Initially just set meetings but if you do well enough at that you move on after 2-3 months but if you don't you get let go. Turnover is extremely high.;;Helpful (2);Current Employee - Inside Sales Representative;;;;;Neutral Outlook;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW25128767.htm;March 12, 2019;"""Good experience with friendly working environment""";I worked at SinglePlatform full-time;"- Competitive salary
- Lots of snacks
- Standing work desk
- Management listens to you";"- Turnover rate was high
- Not enough diversity in sales and marketing teams. I believe they are more diverse now so that's a huge improvement";;Helpful;Former Employee - Anonymous Employee;;;;;;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW25350836.htm;March 26, 2019;"""Good Place to work at""";I worked at SinglePlatform full-time for less than a year;"Unlimited earning potential
Good People to work with";Long hours, but as it is with any sales job;;Helpful;Former Employee - Anonymous Employee;;;;;;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW24541811.htm;February 5, 2019;"""Top Notch Training + Managers @ SP""";I have been working at SinglePlatform full-time for more than a year;With no experience in cold calling or transactional sales, SP's training program provided me with the tools and resources needed to excel at the job.  The program has transformed me into a much more confident person and an overall better employee. The skills learned at this job are invaluable and I will be forever thankful to my manager, Joe Sclafani, for taking the time to nurture and develop me into the rep I am today. Truly all of the managers at this company are one of a kind, they are intelligent and self-less and will work with you until you are both happy with where you are at. The job can be tough but they provide you with the support needed to get through it.;Can be monotonous.;;Helpful;Current Employee - Sales Associate;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW25062515.htm;March 8, 2019;"""Inside Sales Representative""";I worked at SinglePlatform full-time;If you are open and receptive to coaching, you will succeed. The play book that is provided by management works and will help you achieve your goals. Direct sales managers truly care about you and will take time to help you succeed. They are your cheerleaders and you will feel comfortable speaking to your direct manager.;"This company will work you to the bone and then some. Yes, sales is a grind, but the metrics that you are required to hit on a daily basis at this company are ridiculous. 180-200 outbound cold calls minimum and 200 minutes of talk time - which equates to 0 time to eat, use the bathroom, or breathe. If you are not a top 5 performer, upper level management will pay you no mind, even if you are a dedicated and hard working employee who still generates revenue. They do not care about investing in their employees or their product; the product is outdated and honestly does not work well; the pitch is designed to be ambiguous and misleading. You will be micromanaged and have your metrics displayed to the entire floor on a constant basis. Upper level management keeps morale extremely low because of their lack of transparency and crude comments to their employees. The turnover rate is so high because people truly do not feel appreciated intellectually and professionally. In a job that demands so much from you, understanding that people are human is key. The banter and “work hard play hard” environment leaves 0 room for professional growth. Your daily team meetings will consist of gossip and discussion of every teammates weekend party mishaps and escapades. If you want to develop a real sales career, do not even think of starting here, you will burn out quickly and your brain will rot.";;Helpful (3);Former Employee - Inside Sales Representative;;;;;Neutral Outlook;Disapproves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW24699395.htm;February 14, 2019;"""Not for everyone""";I worked at SinglePlatform full-time;Good money and great people and atmosphere;You need to be able to withstand many demands and long hours on the phone;;Helpful;Former Employee - Anonymous Employee;;;;;;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW24107105.htm;January 8, 2019;"""Sales""";I have been working at SinglePlatform full-time;It prepares you for the hard world of sales with nonstop cold calling. It is a young, fun, work hard, play hard culture.;They work you to the bone. Long hours with lots of cold calling.;;Helpful;Current Employee - Anonymous Employee;;;;;;;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW24025222.htm;January 2, 2019;"""High Turnover Rate""";I worked at SinglePlatform full-time;"-Motivational atmosphere

-Great benefits provided by the company

-The experienced reps in the office are easily approachable. They give fantastic advice for newcomers and love to help. This is because everyone in the office benefits from each other's success. 

-Many fun activities provided like happy hour, beer cart on Fridays, trips/vacations to win based on performance

-I made great friends at SP, you spend every day surrounded by your team and become close with everyone quickly. 

-The managers are awesome people who are dedicated to helping you succeed. They are always willing to have a conversation about improving or lending advice on a tough day. 

-The reps in the office who are successful make great money based on commission";"-Very high turnover rate. SinglePlatform hires a new class every single month. This is because people either hate the job and quit, or do not hit their numbers. 

-Be prepared to make 180-200 cold calls with 200-220 minutes of talk time every single day. You will be calling restaurants all day having the same conversation from start to finish. Everyone in the office sits at their desk and dials the phone all day/every day

-The job becomes very repetitive doing the same thing every day. 

-Out of each class, only a couple of people will actually stay. Even if your numbers improve, there is still a chance of getting fired. 

-When calling customers, the pitch is sketchy. Customers are often unclear of what the call is about. Many of them hang up the phone because the script tries to avoid answering the customer's questions directly. 

-Many people in the office list themselves as ""business analysts"" when in reality they are cold callers";;Helpful;Former Employee - Anonymous Employee;;;;;Neutral Outlook;No opinion of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW23807906.htm;December 12, 2018;"""Very Mixed Feelings""";I worked at SinglePlatform full-time for less than a year;"- Great positive culture
- Lots of cool people who are driven and go-getters
- Fun and energetic sales floor that distracts you from the brutal task of cold calling
- Great benefits (if you last): 4 weeks vacation, 401(k) with matching, health benefits, discounts for gym and transit
- Learned a lot on this job even though it was not for me (sales strategies: tone, direct language, closing questions, etc.), also learned more about what I want and don't want in my next position
- Minor benefits like $.25 vending machines, free coffee, occasional free lunch/breakfast, contests for Earpods, free trips, etc.";"- Even though the culture was very positive and people were verbally supportive I felt as though there was a lot going on behind the scenes, always felt as though I was not really being invested in although they did a good job appearing as if they were
- Obviously you should know you will be cold calling a lot. That being said a major con of this job is cold calling, don't underestimate how hard it is to cold call especially with training that is limited
- The only way to make any money at all is to get through a phase that is purely meant to weed people out, even if someone may have the skills to work with people and actually sell the product and help customers you still need to go through this mind numbing cold calling process
- Little to no description of product and it's benefits and features in the beginning. They only go through that with you once you get through the initial two months of cold calling. They explain this by saying they don't want you to be distracted by the product knowledge and explaining too much to restaurant owners, but in my case that just put me off a bit
- Burnout culture: ""You don't have to stay late, but..."", ""Take a lunch break if you need to, but..."" 
- Have to be extremely money motivated as this is not fun work in a ""fun"" work environment. Even so, don't expect to make much money at all until you have survived the phase best described as hunger games-esque
- Prepare to have your commission goals raised on you just as you are doing better

If you really know what you want out of this job and are money motivated, it might be right for you, but it takes time and isn't fun work, hopefully you have natural talent because you won't get much out of a limited training system.";;Helpful (1);Former Employee - Anonymous Employee;;;;;;;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW23620406.htm;November 29, 2018;"""Great First Job""";I worked at SinglePlatform full-time for more than a year;Great people, great management. If you work hard, you get paid very well;Stressful, non-stop calling. Goals can sometimes be unreachable.;;Helpful;Former Employee - Business Analyst;;;;;Positive Outlook;No opinion of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW23435258.htm;November 15, 2018;"""Sales""";I worked at SinglePlatform full-time for more than 3 years;"I spent 3 years here...

SP is THE BEST place to kickstart a sales career! I am so incredibly grateful for everything I learned and the opportunities this company opened for my future. I grew so much personally and professionally in the 3 years I was there. 

I always say ""If you had told my pre-SinglePlatform self about the financial independence and amount success that I have today...I NEVER WOULD HAVE BELIEVED YOU!""

Why I love SP....
*Sales Training: it is top-notch
*Uncapped Commission: if you work hard and put your mind to it...YOU WILL MAKE SIX FIGURES! 
*People: some of my BEST friends come from this company...we are a family; going to work with your best friends makes work so much more fun
*Culture: work hard / play hard environment
*Perks: friendly competition with amazing prizes (like going to the Bahamas or March Madness Final Four tournament), beer cart Fridays, boat cruises in the summer
*Mindset: this company really taught me how important mindset is and the fact that I control my own success. That is INVALUABLE to me!!! ""Those who say they can and those who say they can't are often both right.""";It's tough to come up with a list of cons. Looking at other reviews that seem negative...most people just complain about the level of effort SinglePlatform expects. Yes, it's a grind. They expect you to work REALLY hard. But I think that's a positive. I have such a strong work ethic because I came from this company. If you have a problem with hard work, you're going to struggle to find success anywhere.....and NYC definitely isn't the city for you :);;Helpful;Former Employee - Anonymous Employee;;;;;;;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW23168836.htm;October 29, 2018;"""Best First Job""";I have been working at SinglePlatform full-time for less than a year;Unbelievable sales training and environment.;Not many that I can think of.;;Helpful;Current Employee - SDR;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW22895505.htm;October 10, 2018;"""sales""";I have been working at SinglePlatform;so far so good! I enjoy my time.;nothing yet, we'll see how it goes.;;Helpful;;;;;;;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21761344.htm;August 1, 2018;"""Great inside sales job to start with""";I worked at SinglePlatform full-time;Great company environment. I loved coming to work every day it was fun. Potential to earn a lot of money. Great management that are hands on and want to see you succeed.;For someone that isn’t aware of how sales jobs work, you have to work hard to earn your position and extra money here. For all these negative reviews on here I can tell you they’ve never done sales or don’t like it after this job. That’s fine it’s not for everyone but you get what you applied for when working here. So if you can’t handle a fast pace sales performance environment then of course this isn’t the job for you. Other wise it’s amazing initial inside sales experience.;;Helpful (1);Former Employee - Anonymous Employee;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21739289.htm;July 31, 2018;"""Cool place for a first job out of college""";I have been working at SinglePlatform full-time for less than a year;fun people. cool environment;lots of cold calling;;Helpful;Current Employee - Anonymous Employee;;;;;;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21371415.htm;July 7, 2018;"""OK""";I worked at SinglePlatform full-time;Great people, team-night outs, recognition;challenging, goal-oriented, no-growth in your career;;Helpful (1);Former Employee - Anonymous Employee;;;;;;;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21503020.htm;July 16, 2018;"""Business Analyst""";I worked at SinglePlatform full-time for more than a year;"Cheap food, free drinks, beer cart, ""fun"" culture, and training";The culture is great until the senior reps try and hook up with every girl that walks into the front door, and then management says that they are worried about your reputation... The only thing that made this job BEARABLE was the friends you made and stuck it out with you during training, but those friends quickly get fired and let go because of the unrealistic quotas, nepotism, and mental abuse games management plays on the sales reps.  They are very transparent with the daily quotas of 220+ Talk Time and 180 dials made, as well as other metrics, but you have to hit all of them, regardless of whether or not you have hit the important quotas (meetings/sales.)   The blatant nepotism displayed by management as well as the micromanagement is so disgusting and off putting.  They claim to be laissez faire in the culture and then become hypocritical if you do not drink their kool aid, hence why they hire 21 yr olds fresh off of graduation, who have never had a job before instead of experienced and skilled employees.  Management nit picks everything you do wrong and done something right or a personal win goes unnoticed.  The pools are shallow for the potential sales and prospects. Good luck to whoever gets hired.;;Helpful (4);Former Employee - Business Analyst;;;;;Negative Outlook;Approves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21467365.htm;July 13, 2018;"""Racism Meets Mental Slavery""";I worked at SinglePlatform full-time for less than a year;"You have a lot of perks they give to help you be excited about working there like
•soda Machine
•free food on random days
•cheap Snacks in the vending machine 
•free coffee and warm drinks
•beer on Fridays 
•pay for overtime";Where do I even Start, you will lying on the phone for over 220Min a day, you are EXPECTED to work past 6pm everyday especially if you are not at your goals for the day even tho you’ll only be trained for a week. Micro Manage Hell is what this place is. You will be watched all day on the phone by your managers and they will secretly listen to your conversations to judge you every week on what you are doing “right” and “wrong”. Most of the people who are your “managers” are not even trained. They are all young adults who just were given the job of managers because they fire people on a monthly basis at Single Platform. You will be so stressed everyday because they have screens that show your numbers to you and everyone else and also send you email updates about where you are at on the day and also have a tab on your computer to the dashboard where your numbers are. But guess what they will tell you not to worry about it but they subconsciously have it everywhere to the point that you will literally be scared to get off your seat because you are behind a few minutes on the day. Most of the leads they give you to call are either out of business locations or actual franchises that have no reason to sign up for the scam they are running. I could go on but I don’t think I have enough time and space.;;Helpful (3);Former Employee - Business Analyst????(Yeah Right);;;;;Neutral Outlook;Disapproves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21182135.htm;June 24, 2018;"""good experience""";I have been working at SinglePlatform full-time for more than a year;great culture, there was always leads for us;long hours made close to 100 calls per day;;Helpful;Current Employee - Sales Representative;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW21059440.htm;June 15, 2018;"""Business Analyst""";I worked at SinglePlatform full-time for less than a year;Fun work environment, positive encouragement, young and fun co-workers;Unrealistic goals, encouraged unhealthy rivalry among team members;;Helpful (1);Former Employee - Business Analyst;;;;;Neutral Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW20527681.htm;May 10, 2018;"""Fast-Paced &amp; Aggressive way to kick off a young career""";I worked at SinglePlatform full-time for more than a year;"Great places to kick your sales career off
Phenomenal training, will give you all the tools to master cold calling and hone your sales skills
Very fun environment, lots of competitions and nights out, people are great
Lots of benefits (i.e. 401K + match, medical &amp; dental, transit bonuses)";"Being part of a very large company (i.e. Endurance) has its perks but also has its downfalls
Very strict quotas, not much room for error
Pay is not great at first but, if you stick it out, there's money to be made";;Helpful;Former Employee - Business Analyst;;;;;Positive Outlook;No opinion of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW19534479.htm;March 5, 2018;"""Outstanding Sales training / Very Difficult Job""";I worked at SinglePlatform full-time;"-Sales training is top of the line. 
-Managers are hired from within so you know they understand the grind in order to become successful. 
-Money to be made for people who are laser focused on their career goals and aspirations. 
- AMAZING PEOPLE";Incredibly difficult job that is mentally taxing.  The rejection 200+ times day after day takes a massive toll on you in the long run.;;Helpful;Former Employee - Anonymous Employee;;;;;Positive Outlook;Approves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW19507427.htm;March 3, 2018;"""Stay away""";I worked at SinglePlatform full-time;Good location near Wall Street.;"They lie. This place provides absolutely no value to their customers. They straight up lie in their sales pitch.
They don't value their employees.
The place is run by idiots.";;Helpful (3);Former Employee - Anonymous Employee;;;;;Neutral Outlook;Disapproves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW18954456.htm;January 28, 2018;"""Sales Development Representative""";I worked at SinglePlatform full-time;The  sales training to be respectfully aggressive and to follow the straight line has helped with other endeavors and contributed to my success moving forward.;"The micromanagement was a good and bad thing depending on how willing you are to be trained to be great. I suggest you embrace it and use it as a ""pro"" not a ""con""";;Helpful;Former Employee - Anonymous Employee;;;;;Neutral Outlook;No opinion of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW18366670.htm;December 15, 2017;"""I love this place""";I have been working at SinglePlatform full-time for less than a year;Absolute best sales training program you can go through. Culture is great for a out-going people.;TBH - it's par with other sales organizations for cons: work your butt off and you'll succeed.;;Helpful;Current Employee - Senior Sales Consultant;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW17543806.htm;October 25, 2017;"""Fun College Culture""";I worked at SinglePlatform full-time;You feel like you're at college 2.0. A real family feel and environment.;You will burn out quickly for the actual sales. Even if you are doing well, you still don't get the promotions you deserve.;;Helpful;Former Employee - Anonymous Employee;;;;;Neutral Outlook;Approves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW16995817.htm;September 24, 2017;"""If you work hard you'll be great""";I have been working at SinglePlatform full-time;"- Awesome work environment and culture.  Winning and success is celebrated not just by the individual but by the company and peers as well. You will for sure make great friends here
- At this job everyone starts off in the same place. Success comes from your determination and work ethic. There is definitely opportunity to make good money if you want it enough
- This job is not easy, there is a lot of rejection. This job requires persistence. If you are constantly asking for advice and able to implement feedback you'll succeed
- Definitely a great first job";"- This job takes a lot of persistence and can be very tiring as there is a lot of rejection. It's an inside sales role so calling business all day.... 180+ dials
- This is a sales job. So hitting quota, making commission. That pressure will be there every month
- This job can at times feel repetitive so making sure you have a goal either for that month or for a career is important
- There is not a ton of room for growth within the company if you do not want to become a manager";;Helpful (1);Current Employee - Anonymous Employee;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW16844144.htm;September 15, 2017;"""You Can Achieve What You Want, If You Know What You Want""";I have been working at SinglePlatform full-time for more than 3 years;"SinglePlatform is a clean slate. Whether you have 2 years or 0 days of sales experience, everyone starts off each day in the same place. 

You will meet and make friends that you will keep for life. You are guaranteed to have more opportunities for fun, money, professional and personal growth than most of your other friends right out of college.

All of those things are possible for you here, but it is up to you to want it bad enough for yourself.

The Inside Sales Role is not for the faint of heart. SP sells in a unique way that takes people out of their comfort zones in order for them to be successful. Be prepared to grind, be prepared to follow, blindly at times, and trust that your leaders are putting you in the best position to succeed.

If you have a clear mission, a clear goal, a clear place you want to be one year from now and you are willing to do whatever it takes to get there, this is the place for you.";The way we sell is not for everyone. The grind of 180+ outbound cold calls/day can take a toll on some people. Once again, this loops back to the idea of knowing what you want and you being willing to do whatever it takes to accomplish that goal.;;Helpful (2);Current Employee - Sales;;;;;Neutral Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW16357322.htm;August 14, 2017;"""Environment""";I have been working at SinglePlatform full-time;Laid back yet young, upbeat atmosphere;Very loud and not too professional most times;;Helpful;Current Employee - Anonymous Employee;;;;;;Approves of CEO;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW15941183.htm;July 17, 2017;"""When your here you're family""";I worked at SinglePlatform full-time for more than a year;I met some amazing people working at SinglePlatform. When I started I focused so much on work I never took a second to speak to anyone. Once the job became second nature I met one of my best friends along with a lot of other great people.  A huge pro for me was always being able to speak my mind and go to upper management  when I had any concerns. This is a great opportunity for someone just graduating college or looking to get into the sales industry for the first time.;Thats for you to figure out... what may be a con for me may not be a con for you :);;Helpful;Former Employee - Senior Business Analyst;;;;;Positive Outlook;Approves of CEO;Recommends
